# Nodes
id   node_label  type x          y          demand service_time
0    2332978113  d    11.3275606 46.46914   0      0.0         
1    1759977216  c    11.3558066 46.4977701 99     0.451       
2    2294042882  c    11.3426011 46.4907307 33     0.325       
3    12246072205 c    11.3158162 46.4915135 26     0.312       
4    355969165   c    11.328491  46.4948956 41     0.284       
5    398717971   c    11.2979346 46.4886155 75     0.316       
6    2621990940  c    11.3312846 46.4884993 62     0.5         
7    2310501022  c    11.3503729 46.5011449 83     0.375       
8    1730327840  c    11.3077753 46.4954672 37     0.319       
9    2508719269  c    11.3234951 46.486032  53     0.415       
10   2631795494  c    11.3522892 46.500258  82     0.25        
11   9845915559  c    11.3255576 46.4702849 81     0.309       
12   12270570538 c    11.3330099 46.4895868 40     0.492       
13   262984618   c    11.3343004 46.5032071 73     0.311       
14   1794645163  c    11.3200791 46.4701521 67     0.337       
15   2331788974  c    11.336677  46.4842281 58     0.363       
16   1007817008  c    11.3583129 46.4941422 48     0.253       
17   8421121457  c    11.3184439 46.4873658 57     0.357       
18   8690512435  c    11.3630744 46.4993227 22     0.339       
19   8780857783  c    11.339746  46.491319  28     0.407       
20   292407607   c    11.3301175 46.4680978 87     0.416       
21   262985529   c    11.3565836 46.5031704 38     0.496       
22   2282909241  c    11.3147863 46.4941133 25     0.293       
23   8900310202  c    11.3263894 46.4747606 24     0.492       
24   2517198778  c    11.3276109 46.4767622 83     0.437       
25   282591929   c    11.3524922 46.4954342 53     0.349       
26   9043727550  c    11.3324742 46.4917162 28     0.339       
27   282591939   c    11.3569073 46.4985131 56     0.477       
28   2626502980  c    11.3349927 46.4936636 20     0.301       
29   1102976070  c    11.3375156 46.4990674 94     0.276       
30   329524814   c    11.2945775 46.5046549 99     0.41        
31   8807201232  c    11.3372254 46.4719874 74     0.355       
32   266742357   c    11.3493129 46.5000458 87     0.485       
33   335609818   c    11.3330627 46.489586  93     0.428       
34   335609819   c    11.3317033 46.4896627 74     0.447       
35   5891531483  c    11.331613  46.4689291 97     0.315       
36   262984541   c    11.336474  46.5022493 31     0.445       
37   282591966   c    11.353033  46.5001093 54     0.292       
38   2396676956  c    11.3331272 46.4643066 84     0.277       
39   1397856475  c    11.3657836 46.4979205 51     0.439       
40   1851973603  c    11.3483649 46.4857895 98     0.45        
41   10087342565 c    11.3511966 46.4959877 78     0.313       
42   1069764325  c    11.3345774 46.5024801 52     0.487       
43   323089383   c    11.343076  46.4932185 31     0.407       
44   143423721   c    11.3555648 46.497459  64     0.282       
45   7275107566  c    11.3314327 46.495065  53     0.379       
46   334640751   c    11.3414749 46.4931228 32     0.301       
47   4774198644  c    11.3723413 46.4948611 54     0.48        
48   2621700983  c    11.3365746 46.4901857 59     0.479       
49   1063908091  c    11.3443664 46.5083856 95     0.417       
50   1478069373  c    11.335823  46.4957769 27     0.476       
51   2331789351  f    11.3368741 46.48615   0      0.0         
52   377898568   f    11.32941   46.4688034 0      0.0         
53   2414338346  f    11.3259871 46.494754  0      0.0         
54   4306007949  f    11.3542756 46.4946095 0      0.0         
55   2403618445  f    11.3303185 46.4722601 0      0.0         
56   266742352   f    11.3491124 46.4976156 0      0.0         
57   393807697   f    11.314937  46.4929457 0      0.0         
58   8400865086  f    11.3376257 46.4905035 0      0.0         
59   5762113112  f    11.3139439 46.4981042 0      0.0         
60   2514630590  f    11.3319759 46.4795524 0      0.0         
61   143410459   a    11.3610722 46.5002555 0      0.0         
62   143410470   a    11.3639058 46.5000047 0      0.0         
63   143410471   a    11.3643569 46.5001481 0      0.0         
64   143410487   a    11.3649736 46.4985568 0      0.0         
65   143410491   a    11.3649887 46.4983158 0      0.0         
66   143410493   a    11.3660852 46.4977662 0      0.0         
67   143410506   a    11.3677365 46.4941616 0      0.0         
68   143410507   a    11.3686182 46.4930963 0      0.0         
69   143412412   a    11.3402132 46.4949566 0      0.0         
70   143412419   a    11.3466694 46.4947002 0      0.0         
71   143412429   a    11.3544805 46.4950159 0      0.0         
72   143412435   a    11.3578368 46.4968639 0      0.0         
73   143412439   a    11.3612289 46.4990981 0      0.0         
74   143412440   a    11.3607365 46.5003982 0      0.0         
75   143412445   a    11.3568484 46.5012373 0      0.0         
76   143412460   a    11.3511961 46.5013378 0      0.0         
77   143412465   a    11.3496823 46.5015001 0      0.0         
78   143412478   a    11.3492012 46.4990427 0      0.0         
79   143412479   a    11.3483542 46.4990752 0      0.0         
80   143412481   a    11.3478635 46.4990611 0      0.0         
81   143412495   a    11.3445448 46.5017626 0      0.0         
82   143413284   a    11.3475482 46.509754  0      0.0         
83   143413286   a    11.3470764 46.5091385 0      0.0         
84   143415744   a    11.3169717 46.4746704 0      0.0         
85   143420947   a    11.311966  46.5013    0      0.0         
86   143420961   a    11.322613  46.5033039 0      0.0         
87   143420965   a    11.3293429 46.5028626 0      0.0         
88   143420975   a    11.3335893 46.5039575 0      0.0         
89   143422373   a    11.3006873 46.4884869 0      0.0         
90   143422383   a    11.3083766 46.4927277 0      0.0         
91   143422391   a    11.3044885 46.4977624 0      0.0         
92   143422395   a    11.3067321 46.4987297 0      0.0         
93   143422398   a    11.3111453 46.5001482 0      0.0         
94   143423343   a    11.3531291 46.5122156 0      0.0         
95   143423360   a    11.3543553 46.5066739 0      0.0         
96   143423363   a    11.3548786 46.5052293 0      0.0         
97   143423374   a    11.3576851 46.5018292 0      0.0         
98   143423376   a    11.3590551 46.5017089 0      0.0         
99   143423927   a    11.3554823 46.4941543 0      0.0         
100  143423931   a    11.3583144 46.4932447 0      0.0         
101  143423935   a    11.3596338 46.4927654 0      0.0         
102  150783248   a    11.3799704 46.4970968 0      0.0         
103  150783249   a    11.3801507 46.497297  0      0.0         
104  256994327   a    11.3225214 46.4766955 0      0.0         
105  262983155   a    11.3611763 46.4992801 0      0.0         
106  262983167   a    11.3674013 46.4944816 0      0.0         
107  262983192   a    11.3681224 46.4951491 0      0.0         
108  262983207   a    11.3690562 46.4919875 0      0.0         
109  262983214   a    11.3694427 46.4920519 0      0.0         
110  262983219   a    11.3691794 46.4921631 0      0.0         
111  262983221   a    11.3692994 46.4919007 0      0.0         
112  262983233   a    11.3616458 46.4915554 0      0.0         
113  262983234   a    11.3614739 46.4915577 0      0.0         
114  262983236   a    11.3595288 46.4917218 0      0.0         
115  262983238   a    11.353968  46.4946757 0      0.0         
116  262984539   a    11.3386096 46.5066121 0      0.0         
